Unnamed: 0,pentatonic_id,waste_type,primary_desc,secondary_desc,material,dimensions,values_desc,compound_description,description,source,unit,weight_lbs,weight_ustons,volume_cf,volume_cy
14,APP0003,White Goods/ Appliances,Appliances,Range Electric,,,,Appliances; Ave Range - Electric,"Appliances, Ave Range - Electric",Legacy Calculator,EA,180.0,0.09,25.11,0.93
15,APP0004,White Goods/ Appliances,Appliances,Refrigerator,,22 CF,,Appliances; Refrigerator - up to 22 CF,"Appliances, Refrigerator - up to 22 CF",Legacy Calculator,EA,325.0,0.1625,45.09,1.67
16,AQU0001,Construction Waste,Aquarium,,,,,Aquarium,Aquarium,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,140.0,0.07,20.000000007,0.740740741
17,AQU0002,Construction Waste,Aquarium,,,10 gallon,,Aquarium; 10 gallon,Aquarium-10 gallon,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,21.0,0.0105,2.999999997,0.111111111
18,AQU0003,Construction Waste,Aquarium,,,20 gallon,,Aquarium; 20 gallon,Aquarium-20 gallon,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,35.0,0.0175,4.999999995,0.185185185
19,AQU0004,Construction Waste,Aquarium,,,55 gallon,,Aquarium; 55 gallon,Aquarium-55 gallon,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,210.0,0.105,29.999999997,1.111111111
20,AQU0005,Construction Waste,Aquarium Stand,,,Large,,Aquarium Stand; Large,Aquarium Stand (Large),https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,350.0,0.175,50.000000004,1.851851852
21,AQU0006,Construction Waste,Aquarium Stand,,,Small,,Aquarium Stand; Small,Aquarium Stand (Small),https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,70.0,0.035,9.99999999,0.37037037
22,ARM0001,Furniture,Armchair,,,,,Armchair,Armchair,https://democracy.york.gov.uk/documents/s2116/Annex%20C%20REcycling%20Report%20frnweights2005.pdf,EA,55.1155,0.02755775,,0.0
23,ARM0002,Furniture,Armoire,,,,,Armoire,Armoire,https://move.mil/resources/weight-estimator,EA,210.0,0.105,,0.0
24,ARM0003,Furniture,Armoire,,,Large,,Armoire; Large,Armoire (Large),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,200.0,0.1,,0.0
25,ARM0004,Furniture,Armoire,,,Medium,,Armoire; Medium,Armoire (Medium),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,150.0,0.075,,0.0
26,ARM0005,Furniture,Armoire,,,Small,,Armoire; Small,Armoire (Small),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,100.0,0.05,,0.0
27,ASH0001,General Solid Waste/ Donations,Ash Can; Trash Can; Garbage/Trash Can,,,,,"Ash, Trash Can",Ash/Trash Can,https://move.mil/resources/weight-estimator,EA,49.0,0.0245,,0.0
28,AUT0001,Industrial Equipment,Auto Creeper,,,,,Auto Creeper,Auto Creeper,https://www.lewis-mcchord.army.mil/jppso/weight_estimator.htm,EA,10.0,0.005,,0.0
29,AUT0002,Industrial Equipment,Auto Jack Stands,Pair,,,,Auto Jack Stands; Pair,Auto Jack Stands (Pair),https://www.lewis-mcchord.army.mil/jppso/weight_estimator.htm,EA,15.0,0.0075,,0.0
30,AUT0003,Industrial Equipment,Auto Ramps,Pair,,,,Auto Ramps; Pair,Auto Ramps (Pair),https://www.lewis-mcchord.army.mil/jppso/weight_estimator.htm,EA,30.0,0.015,,0.0
31,AUT0004,White Goods/ Appliances,Automatic Drip Coffeemaker,,,12 cup,,Automatic Drip Coffeemaker; 12-cup,Automatic Drip Coffeemaker (12-cup),https://www.lewis-mcchord.army.mil/jppso/weight_estimator.htm,EA,5.0,0.0025,,0.0
32,AUT0005,Industrial Equipment,Automobile,,,,,Automobile,Automobile,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,2800.0,1.4,399.99999987,14.81481481
33,AUT0006,Textiles,Autumn jacket,,,,,Autumn jacket,Autumn jacket,https://www.parcl.com/education/customers/shipping_weight#women-clothing,EA,4.40924,0.00220462,,0.0
34,BBQ0001,White Goods/ Appliances,BBQ,,,,,BBQ,BBQ,https://democracy.york.gov.uk/documents/s2116/Annex%20C%20REcycling%20Report%20frnweights2005.pdf,EA,33.0693,0.01653465,,0.0
35,BBQ0002,White Goods/ Appliances,BBQ; Gas Port Grill,,,,,"BBQ, Gas Port Grill w, tank",BBQ/Gas Port Grill w/tank,https://www.lewis-mcchord.army.mil/jppso/weight_estimator.htm,EA,70.0,0.035,,0.0
36,BBQ0003,White Goods/ Appliances,BBQ; Port Grill,,,,,"BBQ, Port Grill",BBQ/Port Grill,https://www.lewis-mcchord.army.mil/jppso/weight_estimator.htm,EA,35.0,0.0175,,0.0
37,BAB0001,General Solid Waste/ Donations,Baby Bath,,,,,Baby Bath,Baby Bath,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,21.0,0.0105,2.999999997,0.111111111
38,BAB0002,General Solid Waste/ Donations,Baby Carriage,,,,,Baby Carriage,Baby Carriage,https://move.mil/resources/weight-estimator,EA,70.0,0.035,,0.0
39,BAB0003,Furniture,Baby Changing Table,,,,,Baby Changing Table,Baby Changing Table,https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,50.0,0.025,,0.0
40,BAB0004,Furniture,Baby Crib,Frame,,,,Baby Crib; Frame,Baby Crib (Frame),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,40.0,0.02,,0.0
41,BAB0005,Furniture,Baby Crib,Mattress,,,,Baby Crib; Mattress,Baby Crib (Mattress),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,15.0,0.0075,,0.0
42,BAB0006,Furniture,Baby Grand Piano,,,,,Baby Grand Piano,Baby Grand Piano,https://www.moverscorp.com/moving_weight_calculator/,EA,490.0,0.245,,0.0
43,BAB0007,Furniture,Baby Grand Piano,Bench,,,,Baby Grand Piano / Upright; incls.bench,Baby Grand Piano / Upright (incls.bench),https://transcanadamovers.com/weight-calculator/,EA,500.0,0.25,59.999999994,2.222222222
44,BAB0008,Furniture,Baby High Chair,,,,,Baby High Chair,Baby High Chair,https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,30.0,0.015,,0.0
45,BAB0009,Furniture,Baby High Chair,,,,,Baby High Chair,"Baby""s High Chair",https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,28.0,0.014,3.999999996,0.148148148
46,BAB0010,Furniture,Baby High Chair,,,,,Baby High Chair,Baby's High Chair,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,28.0,0.014,3.999999996,0.148148148
47,BAB0011,Furniture,Baby Play Pen,,,,,Baby Play Pen,Baby Play Pen,https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,60.0,0.03,,0.0
48,BAB0012,Furniture,Baby Stroller,,,,,Baby Stroller,Baby Stroller,https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,25.0,0.0125,,0.0
49,BAB0013,General Solid Waste/ Donations,Baby Swing,,,,,Baby Swing,Baby Swing,https://www.lewis-mcchord.army.mil/jppso/weight_estimator.htm,EA,10.0,0.005,,0.0
50,BAB0014,General Solid Waste/ Donations,Baby Walker,,,,,Baby Walker,Baby Walker,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,35.0,0.0175,4.999999995,0.185185185
51,BAB0015,White Goods/ Appliances,Baby belling,Countertop cooker,,,,Baby belling; counter top cooker,"Baby belling, counter top cooker",https://democracy.york.gov.uk/documents/s2116/Annex%20C%20REcycling%20Report%20frnweights2005.pdf,EA,66.1386,0.0330693,,0.0
52,BAB0016,White Goods/ Appliances,Baby belling,Countertop cooker,,,,Baby belling; counter top cooker,"Baby belling, counter top cooker, hostess trolley ",https://www.sustainabilityexchange.ac.uk/files/copy_of_furniturereusenetworkaverageweights.xls,EA,52.91088,0.02645544,,0.0
53,BAL0001,Textiles,Ballet pumps,,,,,Ballet pumps,Ballet pumps,https://www.parcl.com/education/customers/shipping_weight#women-clothing,EA,0.881848,0.000440924,,0.0
54,BAR0001,Furniture,Bar,,,,,Bar,Bar,https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,175.0,0.0875,,0.0
55,BAR0002,Furniture,Bar,,,3 x 4 x 2,,Bar (3 x 4 x 2),Bar 3 x 4 x 2,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,168.0,0.084,24.000000003,0.888888889
56,BAR0003,Furniture,Bar Cart,,,,,Bar Cart,Bar Cart,https://move.mil/resources/weight-estimator,EA,105.0,0.0525,,0.0
57,BAR0004,Furniture,Bar Portable,,,,,Bar Portable,Bar Portable,https://www.lewis-mcchord.army.mil/jppso/weight_estimator.htm,EA,120.0,0.06,,0.0
58,BAR0005,Furniture,Bar Stool,,,,,Bar Stool,Bar Stool,https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,15.0,0.0075,,0.0
59,BAR0006,White Goods/ Appliances,Barbecue,,,,,Barbecue,Barbecue,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,70.0,0.035,9.99999999,0.37037037
60,BAR0007,White Goods/ Appliances,Barbecue Grill,,,,,Barbecue Grill,Barbecue Grill,https://www.moverscorp.com/moving_weight_calculator/,EA,70.0,0.035,,0.0
61,BAR0008,General Solid Waste/ Donations,Barbell Set,,,Small,,Barbell Set; Small,Barbell Set (Small),https://move.mil/resources/weight-estimator,EA,35.0,0.0175,,0.0
62,BAR0009,White Goods/ Appliances,Barbecue,Charcoal,,,,Barbeque; charcoal,"Barbeque, charcoal",https://transcanadamovers.com/weight-calculator/,EA,70.0,0.035,9.99999999,0.37037037
63,BAR0010,White Goods/ Appliances,Barbecue,Gas,,,,Barbeque; gas,"Barbeque, gas",https://transcanadamovers.com/weight-calculator/,EA,100.0,0.05,15.000000012,0.555555556
64,BAS0001,Furniture,Base Buffet,,,,,Base Buffet,Base Buffet,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,210.0,0.105,29.999999997,1.111111111
65,BAS0002,Textiles,Basket,Clothes,,,,Basket; Clothes,Basket (Clothes),https://move.mil/resources/weight-estimator,EA,35.0,0.0175,,0.0
66,BAS0003,General Solid Waste/ Donations,Basket,,Plastic,,,Basket; Plastic,Basket (Plastic),https://move.mil/resources/weight-estimator,EA,21.0,0.0105,,0.0
67,BAS0004,Furniture,Bassinet,,,,,Bassinet,Bassinet,https://move.mil/resources/weight-estimator,EA,35.0,0.0175,,0.0
68,BAT0001,Scrap Metals,Bath,,Metal,,,Bath; metal,Bath (metal),https://democracy.york.gov.uk/documents/s2116/Annex%20C%20REcycling%20Report%20frnweights2005.pdf,EA,88.1848,0.0440924,,0.0
69,BAT0002,Construction Waste,Bath,,Non-metal,,,Bath; non-metal,Bath (non-metal),https://democracy.york.gov.uk/documents/s2116/Annex%20C%20REcycling%20Report%20frnweights2005.pdf,EA,55.1155,0.02755775,,0.0
70,BAT0003,General Solid Waste/ Donations,Bathinette,,,,,Bathinette,Bathinette,https://www.lewis-mcchord.army.mil/jppso/weight_estimator.htm,EA,10.0,0.005,,0.0
71,BAT0004,Textiles,Bathrobe,,,,,Bathrobe,Bathrobe,https://www.parcl.com/education/customers/shipping_weight#women-clothing,EA,0.440924,0.000220462,,0.0
72,BAT0005,Furniture,Bathroom Cabinet,,,,,Bathroom Cabinet,Bathroom Cabinet,https://democracy.york.gov.uk/documents/s2116/Annex%20C%20REcycling%20Report%20frnweights2005.pdf,EA,17.63696,0.00881848,,0.0
73,BAT0006,Construction Waste,Bathroom Cabinet,Shower Screen,,,,Bathroom Cabinet /Shower Screen,Bathroom Cabinet /Shower Screen,https://www.sustainabilityexchange.ac.uk/files/copy_of_furniturereusenetworkaverageweights.xls,EA,15.43234,0.00771617,,0.0
74,BAT0007,Construction Waste,Bathroom Suite,,,,,Bathroom Suite (toilet; sink,"Bathroom Suite (toilet, sink, bath)",https://democracy.york.gov.uk/documents/s2116/Annex%20C%20REcycling%20Report%20frnweights2005.pdf,EA,165.3465,0.08267325,,0.0
75,BAT0008,Construction Waste,Bathroom Mirror,,,,,Bathroom mirror,Bathroom mirror,https://www.parcl.com/education/customers/shipping_weight#women-clothing,EA,15.43234,0.00771617,,0.0
76,BEA0001,Furniture,Bean Bag,,,,,Bean Bag,Bean Bag,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,42.0,0.021,5.999999994,0.222222222
77,BED0001,Furniture,Bed,Bunk,,,,Bed; Bunk,"Bed, Bunk",http://www.movingtoolsinc.com/Tools/household-furniture-dimensional-weight-calculator.aspx,EA,420.0,0.21,60.0,2.22222222222222
78,BED0002,Furniture,Bed,Bunk,,Single,,Bed; Bunk (Single),"Bed, Bunk (Single)",http://www.movingtoolsinc.com/Tools/household-furniture-dimensional-weight-calculator.aspx,EA,210.0,0.105,30.0,1.11111111111111
79,BED0003,Furniture,Bed,Cabin Flat,,,,Bed; Cabin (Flat),"Bed, Cabin (Flat)",http://www.movingtoolsinc.com/Tools/household-furniture-dimensional-weight-calculator.aspx,EA,210.0,0.105,30.0,1.11111111111111
80,BED0004,Furniture,Bed,Divan,,Double,,Bed; Divan (Double),"Bed, Divan (Double)",http://www.movingtoolsinc.com/Tools/household-furniture-dimensional-weight-calculator.aspx,EA,406.0,0.203,58.0,2.14814814814815
81,BED0005,Furniture,Bed,Divan,,King size,,Bed; Divan (King Size),"Bed, Divan (King Size)",http://www.movingtoolsinc.com/Tools/household-furniture-dimensional-weight-calculator.aspx,EA,546.0,0.273,78.0,2.88888888888889
82,BED0006,Furniture,Bed,Divan,,Single,,Bed; Divan (Single),"Bed, Divan (Single)",http://www.movingtoolsinc.com/Tools/household-furniture-dimensional-weight-calculator.aspx,EA,273.0,0.1365,39.0,1.44444444444444
83,BED0007,Furniture,Bed,,,Double,,Bed; Double,"Bed, Double",http://www.movingtoolsinc.com/Tools/household-furniture-dimensional-weight-calculator.aspx,EA,350.0,0.175,50.0,1.85185185185185
84,BED0008,Furniture,Bed,Folding,,,,Bed; Folding,"Bed, Folding",http://www.movingtoolsinc.com/Tools/household-furniture-dimensional-weight-calculator.aspx,EA,210.0,0.105,30.0,1.11111111111111
85,BED0009,Furniture,Bed,Baby,,,,Bed; Babys,"Bed, Babys",https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,210.0,0.105,29.999999997,1.111111111
86,BED0010,Furniture,Bed,Bunk 2,,,,Bed; Bunk (Set of 2),"Bed, Bunk (Set of 2)",https://transcanadamovers.com/weight-calculator/,EA,300.0,0.15,70.000000011,2.592592593
87,BED0011,Furniture,Bed,Box Spring,,Double,,Bed; Double (Box Spring),Bed - Double (Box Spring),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,60.0,0.03,,0.0
88,BED0012,Furniture,Bed,Footboard,,Double,,Bed; Double (Footboard),Bed - Double (Footboard),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,25.0,0.0125,,0.0
89,BED0013,Furniture,Bed,Headboard,,Double,,Bed; Double (Headboard),Bed - Double (Headboard),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,40.0,0.02,,0.0
90,BED0014,Furniture,Bed,Pillow Top Mattress,,Double,,"Bed; Double (Mattress, Pillow Top)",Bed - Double (Mattress/Pillow Top),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,75.0,0.0375,,0.0
91,BED0015,Furniture,Bed,Standard Mattress ,,Double,,"Bed; Double (Mattress, Standard)",Bed - Double (Mattress/Standard),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,60.0,0.03,,0.0
92,BED0016,Furniture,Bed,Rails,,Double,,Bed; Double (Set of Rails),Bed - Double (Set of Rails),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,10.0,0.005,,0.0
93,BED0017,Furniture,Bed,Full,,Double,,"Bed; Double, Full",Bed (Double/Full),https://move.mil/resources/weight-estimator,EA,420.0,0.21,,0.0
94,BED0018,Furniture,Bed,Full,,,,Bed; Full,"Bed, Full",https://www.moverscorp.com/moving_weight_calculator/,EA,385.0,0.1925,,0.0
95,BED0019,Furniture,Bed,Headboard,,Large,,Bed; Headboard (Large),"Bed, Headboard (Large)",https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,175.0,0.0875,25.000000002,0.925925926
96,BED0020,Furniture,Bed,Headboard,,Medium,,Bed; Headboard (Medium),"Bed, Headboard (Medium)",https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,105.0,0.0525,15.000000012,0.555555556
97,BED0021,Furniture,Bed,Headboard,,Small,,Bed; Headboard (Small),"Bed, Headboard (Small)",https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,70.0,0.035,9.99999999,0.37037037
98,BED0022,Furniture,Bed,Hideaway,,,,Bed; Hideaway,Bed (Hideaway),https://move.mil/resources/weight-estimator,EA,280.0,0.14,,0.0
99,BED0023,Furniture,Bed,,,King,,Bed; King,Bed (King),https://move.mil/resources/weight-estimator,EA,490.0,0.245,,0.0
100,BED0024,Furniture,Bed,,,King,,Bed; King,"Bed, King",https://www.moverscorp.com/moving_weight_calculator/,EA,500.0,0.25,,0.0
101,BED0025,Furniture,Bed,,,King Size,,Bed; King Size,"Bed, King Size",https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,420.0,0.21,59.999999994,2.222222222
102,BED0026,Furniture,Bed,Slatted,,King Size,,Bed; King Size Slatted,"Bed, King Size 'Slatted",https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,315.0,0.1575,45.000000009,1.666666667
103,BED0027,Furniture,Bed,,,,King; Queen; Water,"Bed; King, Queen, Water","Bed, King/Queen/Water",https://transcanadamovers.com/weight-calculator/,EA,450.0,0.225,70.000000011,2.592592593
104,BED0028,Furniture,Bed,,,Queen,,Bed; Queen,Bed (Queen),https://move.mil/resources/weight-estimator,EA,450.0,0.225,,0.0
105,BED0029,Furniture,Bed,,,Queen,,Bed; Queen,"Bed, Queen",https://www.moverscorp.com/moving_weight_calculator/,EA,350.0,0.175,,0.0
106,BED0030,Furniture,Bed,Box Spring,,Queen Size ,,Bed; Queen Size (Boxspring),Bed - Queen Size (Boxspring),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,75.0,0.0375,,0.0
107,BED0031,Furniture,Bed,Footboard,,Queen Size ,,Bed; Queen Size (Footboard),Bed - Queen Size (Footboard),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,35.0,0.0175,,0.0
108,BED0032,Furniture,Bed,Headboard,,Queen Size ,,Bed; Queen Size (Headboard),Bed - Queen Size (Headboard),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,45.0,0.0225,,0.0
109,BED0033,Furniture,Bed,Pillow Top Mattress,,Queen Size ,,"Bed; Queen Size (Mattress, Pillow Top)",Bed - Queen Size (Mattress/Pillow Top),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,100.0,0.05,,0.0
110,BED0034,Furniture,Bed,Standard Mattress ,,Queen Size ,,"Bed; Queen Size (Mattress, Standard)",Bed - Queen Size (Mattress/Standard),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,75.0,0.0375,,0.0
111,BED0035,Furniture,Bed,Rails,,Queen Size ,,Bed; Queen Size (Set Rails),Bed - Queen Size (Set Rails),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,10.0,0.005,,0.0
112,BED0036,Furniture,Bed,Rollaway,,,,Bed; Rollaway,Bed (Rollaway),https://move.mil/resources/weight-estimator,EA,140.0,0.07,,0.0
113,BED0037,Furniture,Bed,,,Single,,Bed; Single,Bed (Single),https://move.mil/resources/weight-estimator,EA,280.0,0.14,,0.0
114,BED0038,Furniture,Bed,,,Single,,Bed; Single,"Bed, Single",https://www.moverscorp.com/moving_weight_calculator/,EA,280.0,0.14,,0.0
115,BED0039,Furniture,Bed,Slatted,,Double,,Bed; Slatted (Double),"Bed, 'Slatted (Double)",https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,245.0,0.1225,34.999999992,1.296296296
116,BED0040,Furniture,Bed,Slatted,,Single,,Bed; Slatted (Single),"Bed, 'Slatted (Single)",https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,175.0,0.0875,25.000000002,0.925925926
117,BED0041,Furniture,Bed,Trundle,,,,Bed; Trundle,Bed (Trundle),https://move.mil/resources/weight-estimator,EA,350.0,0.175,,0.0
118,BED0042,Furniture,Bed,Boxspring,,Twin Size ,,Bed; Twin Size (Boxspring),Bed - Twin Size (Boxspring),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,50.0,0.025,,0.0
119,BED0043,Furniture,Bed,Footboard,,Twin Size ,,Bed; Twin Size (Footboard),Bed - Twin Size (Footboard),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,15.0,0.0075,,0.0
120,BED0044,Furniture,Bed,Headboard,,Twin Size ,,Bed; Twin Size (Headboard),Bed - Twin Size (Headboard),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,20.0,0.01,,0.0
121,BED0045,Furniture,Bed,Pillow Top Mattress,,Twin Size ,,"Bed; Twin Size (Mattress, Pillow Top)",Bed - Twin Size (Mattress/Pillow Top),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,75.0,0.0375,,0.0
122,BED0046,Furniture,Bed,Standard Mattress ,,Twin Size ,,"Bed; Twin Size (Mattress, Standard)",Bed - Twin Size (Mattress/Standard),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,50.0,0.025,,0.0
123,BED0047,Furniture,Bed,Rails,,Twin Size ,,Bed; Twin Size (Set of Rails),Bed - Twin Size (Set of Rails),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,10.0,0.005,,0.0
124,BED0048,Furniture,Bed,Youth,,,,Bed; Youth,Bed (Youth),https://move.mil/resources/weight-estimator,EA,70.0,0.035,,0.0
125,BED0049,Furniture,Bed,Complete base,,Double,,Bed; double complete (base,"Bed, double complete (base, mattress + headboard)",https://democracy.york.gov.uk/documents/s2116/Annex%20C%20REcycling%20Report%20frnweights2005.pdf,EA,176.3696,0.0881848,,0.0
126,BED0050,Furniture,Bed,Complete base,,King size,,Bed; king-size complete (base,"Bed, king-size complete (base, mattress + headboard)",https://democracy.york.gov.uk/documents/s2116/Annex%20C%20REcycling%20Report%20frnweights2005.pdf,EA,213.84814,0.10692407,,0.0
127,BED0051,Furniture,Bed,Complete base,,Single,,Bed; single complete (base,"Bed, single complete (base, mattress + headboard)",https://democracy.york.gov.uk/documents/s2116/Annex%20C%20REcycling%20Report%20frnweights2005.pdf,EA,114.64024,0.05732012,,0.0
128,BED0052,Furniture,Bed,Bunk 2,,,,Bed ); Bunk Set (2,Bed (Bunk Set (2)),https://move.mil/resources/weight-estimator,EA,490.0,0.245,,0.0
129,BED0053,Textiles,Bed Canopy,,,,,Bed Canopy,Bed Canopy,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,105.0,0.0525,15.000000012,0.555555556
130,BED0054,Furniture,Bed Footboard,,,,,Bed Footboard,Bed Footboard,https://www.movers.com/moving-guides/tools/moving-estimate-weight-cost-calculator.aspx,EA,70.0,0.035,9.99999999,0.37037037
131,BED0055,Furniture,Bed Footboard,,,Full,,Bed Footboard; Full,Bed Footboard (Full),https://ewtaz.com/wp-content/uploads/2019/02/Average-Weight-of-Common-Household-Furniture.pdf,EA,25.0,0.0125,,0.0
